title;artist;album;isFound
"Baby Sasuke";"Future, Lil Uzi Vert";"Pluto x Baby Pluto (Deluxe)";1
Postpone;"James Blake";"CMYK EP";1
"Can Sex Me";"Lil Ugly Mane";"Three Sided Tape Volume ONE";1
Stingray;Riohv;"Green Room";1
"Thin Line (feat. Maria Minerva)";"Cherushii, Maria Minerva";"Memory of Water";1
"Pacific Reasons";Body-San;"Pacific Reasons EP";1
"Raining Outside";"Earth Boys";"Mythic Music";1
Closer;"Project Pablo, Patrick Holland";"Beaubien Dream";1
"A Pearl";Pocket;"A Pearl";1
"My Room is White - Flying Lotus Remix";"Mia Doi Todd, Flying Lotus";"La Ninja: Amor and Other Dreams of Manzanita";1
Aubades;rAHHH;Blinking/Aubades;1
"Heaven Scent";"Soulwax, Chloe Sevigny";"Heaven Scent";1
Controller;"Channel Tres";Controller;1
Musique;"Daft Punk";"Musique, Vol. 1";1
50//50;Vantage;50//50;1
"Pink Funeral";"Beach House";"Once Twice Melody";1
